,Dist. STATE,Account ID,City,OnOff Premises,Classes of Trade,Siempre Plata,Siempre Reposado,Siempre Anejo,Siempre Supremo,Siempre Rebel Cask,Siempre Exclusivo Vivo,Total Cases,Did Buys,# Purchases,# Months Purchased,Rate of Sale: Units / Month,Ave Unit Price,Cluster
0,GA,29552,ATLANTA,ON,RESTAURANT,423.333333,18.000001,0.333334,0.0,0.0,0.333334,442.000002,1,44,12,36.8333335,123.3712664,3.0
1,GA,22593,MARIETTA,ON,BAR/TAVERN,74.833332,0.333334,0.166667,0.0,0.0,0.0,75.333333,1,52,12,6.27777775,133.7861289,2.0
2,GA,30497,SAVANNAH,ON,HOTEL/ MOTEL,58.166664,0.666667,5.0,0.666667,1.0,0.666667,66.166665,1,32,12,5.51388875,163.2559235,2.0
3,GA,41833,ATLANTA,ON,RESTAURANT,37.333325,0.0,0.0,0.0,0.0,0.0,37.333325,1,27,12,3.111110417,135.8102982,2.0
4,GA,66742,DECATUR,ON,RESTAURANT,27.333334,15.666666,0.0,0.0,0.166667,0.166667,43.333334,1,20,10,3.611111167,145.5099208,2.0
5,GA,81934,UNION CITY,OFF,LIQUOR/PACKAGE STORE,25.0,20.0,2.0,1.0,0.0,1.0,49.0,1,3,3,4.083333333,169.2142776,2.0
6,GA,90225,ATLANTA,ON,RESTAURANT,21.666667,6.999998,1.0,0.0,0.166667,0.0,29.833332,1,10,7,2.486111,148.7827441,2.0
7,GA,96209,ATLANTA,OFF,LIQUOR/PACKAGE STORE,20.333334,28.166667,12.0,1.333333,1.333333,0.666666,63.833333,1,10,9,5.319444417,184.3340626,2.0
8,GA,57994,MARIETTA,OFF,LIQUOR/PACKAGE STORE,18.0,11.0,3.0,0.0,0.0,0.0,32.0,1,1,1,2.666666667,158.5996688,0.0
9,GA,80535,COVINGTON,OFF,LIQUOR/PACKAGE STORE,18.0,13.0,11.833333,1.0,1.0,1.0,45.833333,1,5,5,3.819444417,194.9294043,2.0
10,GA,82610,ATLANTA,OFF,LIQUOR/PACKAGE STORE,16.0,27.0,1.0,1.0,2.0,1.0,48.0,1,17,9,4.0,196.2135375,2.0
11,GA,64787,MACON,OFF,LIQUOR/PACKAGE STORE,15.666667,31.0,1.0,0.0,0.0,0.0,47.666667,1,8,4,3.97222225,150.7916381,2.0
12,GA,53164,ATLANTA,OFF,LIQUOR/PACKAGE STORE,14.0,25.0,13.0,0.0,0.0,0.0,52.0,1,3,3,4.333333333,168.3516923,2.0
13,GA,20325,SAVANNAH,OFF,LIQUOR/PACKAGE STORE,13.0,8.0,3.0,0.0,0.0,0.0,24.0,1,17,8,2.0,193.281225,2.0
14,GA,24299,CONYERS,OFF,LIQUOR/PACKAGE STORE,12.0,20.0,4.833333,2.0,5.0,1.0,44.833333,1,4,3,3.736111083,199.3049613,2.0
15,GA,20701,CUMMING,ON,RESTAURANT,11.666667,2.333334,0.666667,0.0,0.0,0.0,14.666668,1,9,4,1.222222333,145.1941913,1.0
16,GA,36687,STOCKBRIDGE,OFF,LIQUOR/PACKAGE STORE,11.0,15.0,3.0,0.0,0.0,0.0,29.0,1,3,3,2.416666667,157.6096345,2.0
17,GA,58772,DULUTH,OFF,LIQUOR/PACKAGE STORE,11.0,8.0,2.0,0.0,0.0,0.0,21.0,1,2,2,1.75,170.5918857,0.0
18,GA,76579,WOODSTOCK,OFF,LIQUOR/PACKAGE STORE,11.0,5.0,0.0,0.0,0.0,0.0,16.0,1,1,1,1.333333333,144.89625,0.0
19,GA,18914,FAIRBURN,OFF,LIQUOR/PACKAGE STORE,11.0,17.0,1.0,1.0,1.0,0.5,31.5,1,4,4,2.625,172.126819,2.0
20,GA,41818,SAVANNAH,OFF,LIQUOR/PACKAGE STORE,11.0,6.0,2.0,0.0,0.0,0.0,19.0,1,11,8,1.583333333,186.1173474,2.0
21,GA,75638,FAIRBURN,OFF,LIQUOR/PACKAGE STORE,10.166667,24.0,6.0,0.0,0.0,0.0,40.166667,1,3,2,3.34722225,176.1632052,2.0
22,GA,49725,COVINGTON,OFF,LIQUOR/PACKAGE STORE,10.0,6.0,0.5,0.0,0.0,0.0,16.5,1,3,3,1.375,162.7896909,0.0
23,GA,81640,LITHIA SPRINGS,OFF,LIQUOR/PACKAGE STORE,10.0,12.0,2.0,0.0,0.0,0.0,24.0,1,3,3,2.0,176.06415,2.0
24,GA,81455,STOCKBRIDGE,OFF,LIQUOR/PACKAGE STORE,10.0,18.0,5.0,0.0,0.0,0.0,33.0,1,1,1,2.75,168.4484545,2.0
25,GA,26235,CONYERS,OFF,LIQUOR/PACKAGE STORE,10.0,18.0,2.0,0.5,0.0,0.5,31.0,1,5,3,2.583333333,173.7699871,2.0
26,GA,51946,ATLANTA,OFF,LIQUOR/PACKAGE STORE,10.0,4.0,0.0,0.0,0.0,0.0,14.0,1,1,1,1.166666667,150.8335714,0.0
27,GA,58932,ATLANTA,ON,RESTAURANT,9.000001,1.666666,0.5,0.0,0.0,0.0,11.166667,1,6,3,0.930555583,144.2861151,1.0
28,GA,76869,LITHONIA,OFF,LIQUOR/PACKAGE STORE,9.0,20.0,1.0,0.0,0.0,0.0,30.0,1,4,3,2.5,166.87166,2.0
29,GA,13771,DECATUR,OFF,LIQUOR/PACKAGE STORE,9.0,3.0,4.0,1.0,1.0,1.166667,19.166667,1,8,6,1.59722225,242.1513662,2.0
30,GA,84875,LOVEJOY,OFF,LIQUOR/PACKAGE STORE,9.0,14.0,5.0,0.0,0.0,0.0,28.0,1,4,3,2.333333333,179.6853214,2.0
31,GA,59619,ATLANTA,ON,RESTAURANT,8.500002,13.166668,0.333334,0.333333,0.0,0.0,22.333337,1,23,11,1.861111417,151.1874379,2.0
32,GA,75450,SAVANNAH,ON,RESTAURANT,8.333338,10.666667,1.666667,0.0,0.0,0.0,20.666672,1,32,12,1.722222667,162.5827806,2.0
33,GA,49932,MACON,OFF,LIQUOR/PACKAGE STORE,8.000001,6.833333,1.0,0.0,0.0,0.0,15.833334,1,3,2,1.3194445,125.9390347,0.0
34,GA,65478,ATLANTA,OFF,LIQUOR/PACKAGE STORE,8.0,3.833333,0.0,0.0,0.0,0.0,11.833333,1,2,2,0.986111083,160.0271876,0.0
35,GA,54545,ATLANTA,ON,RESTAURANT,7.000003,3.500002,1.333334,0.0,0.0,0.0,11.833339,1,15,7,0.986111583,155.863024,2.0
36,GA,74319,ATLANTA,OFF,LIQUOR/PACKAGE STORE,7.0,5.0,2.0,0.0,0.0,0.0,14.0,1,1,1,1.166666667,159.1528286,0.0
37,GA,24312,ATLANTA,OFF,LIQUOR/PACKAGE STORE,7.0,8.0,0.0,0.0,0.0,0.0,15.0,1,1,1,1.25,159.176,0.0
38,GA,31405,DECATUR,OFF,LIQUOR/PACKAGE STORE,7.0,10.0,4.0,0.0,0.0,0.0,21.0,1,2,2,1.75,185.9794857,0.0
39,GA,69651,SUWANEE,OFF,LIQUOR/PACKAGE STORE,7.0,6.0,0.0,1.0,0.0,1.0,15.0,1,11,10,1.25,231.27,2.0
40,GA,43874,MIDWAY,ON,RESTAURANT,6.833332,0.0,0.0,0.0,0.0,0.0,6.833332,1,8,5,0.569444333,144.0329549,1.0
41,GA,46139,ATLANTA,ON,RESTAURANT,6.666667,2.666667,0.0,0.0,0.0,0.0,9.333334,1,8,5,0.777777833,139.0532044,1.0
42,GA,82097,ATLANTA,ON,BAR/TAVERN,6.500001,6.666668,0.0,0.0,0.0,0.0,13.166669,1,14,7,1.097222417,144.4898478,2.0
43,GA,11201,ATLANTA,OFF,LIQUOR/PACKAGE STORE,6.333334,10.166667,1.0,0.0,0.0,0.0,17.500001,1,3,3,1.458333417,157.4788367,0.0
44,GA,19097,ATLANTA,OFF,LIQUOR/PACKAGE STORE,6.0,4.0,2.0,0.0,0.0,0.0,12.0,1,2,2,1.0,183.7533,0.0
45,GA,28542,DACULA,OFF,LIQUOR/PACKAGE STORE,6.0,4.0,1.0,0.0,0.0,0.0,11.0,1,9,8,0.916666667,204.5581636,2.0
46,GA,91010,CANTON,OFF,LIQUOR/PACKAGE STORE,6.0,7.0,2.0,1.0,1.0,1.0,18.0,1,4,3,1.5,220.9338667,0.0
47,GA,30267,ATLANTA,OFF,LIQUOR/PACKAGE STORE,6.0,6.0,0.0,0.0,0.0,0.0,12.0,1,12,9,1.0,195.12,2.0
48,GA,73779,ATLANTA,OFF,LIQUOR/PACKAGE STORE,5.5,10.0,2.0,0.0,0.0,0.0,17.5,1,2,2,1.458333333,165.3914057,0.0
49,GA,93440,ALPHARETTA,ON,RESTAURANT,5.166665,1.833334,0.0,0.0,0.0,0.0,6.999999,1,13,9,0.58333325,159.3021656,2.0
